cycle,paddr,pwdata,prdata,prdata_golden,pwrite,psel,penable,data_error,trojan_active
1,0,10,0,0,1,1,1,0,0
2,1,11,0,0,1,1,1,0,0
3,2,12,0,0,1,1,1,0,0
4,3,13,0,0,1,1,1,0,0
5,4,14,0,0,1,1,1,0,0
6,0,0,10,10,0,1,1,0,0
7,1,0,11,11,0,1,1,0,0
8,2,0,12,12,0,1,1,0,0
9,3,0,13,13,0,1,1,0,0
10,4,0,14,14,0,1,1,0,0
11,60,3f,0,0,1,1,1,0,0
12,10,ff,0,0,1,1,1,0,0
13,aa,55,0,0,1,1,1,0,0
14,60,0,aa,14,0,1,1,de,1
15,c3,0,0,0,0,1,1,0,0
16,10,ff,0,0,1,1,1,0,0
17,aa,55,0,0,1,1,1,0,0
18,60,0,aa,14,0,1,1,de,1
19,c3,0,0,0,0,1,1,0,0
20,a1,0,0,0,0,1,1,0,0
